,ActivityIdentifier,ActivityLatitude,ActivityLongitude,AnalysisStartDate,Contaminant,DetectedLevel,LevelUnit
30,nwisny.01.01800343,,,2017-12-12,Copper,0.53,ug/l
32,nwisny.01.01800343,,,2017-12-12,Lead,1.37,ug/l
464,nwisny.01.01801598,,,2018-06-06,Copper,1.3,ug/l
466,nwisny.01.01801598,,,2018-06-06,Lead,1.22,ug/l
526,nwisny.01.01801599,,,2018-06-06,Copper,1.4,ug/l
528,nwisny.01.01801599,,,2018-06-06,Lead,0.9440000000000001,ug/l
592,nwisny.01.01800341,,,2017-12-12,Copper,0.54,ug/l
594,nwisny.01.01800341,,,2017-12-12,Lead,0.087,ug/l
1028,nwisny.01.01801620,,,2018-06-08,Copper,0.57,ug/l
1030,nwisny.01.01801620,,,2018-06-08,Lead,0.5329999999999999,ug/l
5630,nwisny.01.01803207,,,2018-09-25,Copper,1.0,ug/l
5632,nwisny.01.01803207,,,2018-09-25,Lead,0.794,ug/l
5700,nwisny.01.01800340,,,2017-12-12,Copper,0.56,ug/l
5702,nwisny.01.01800340,,,2017-12-12,Lead,0.132,ug/l
5770,nwisny.01.01801144,,,2018-03-28,Copper,0.68,ug/l
5772,nwisny.01.01801144,,,2018-03-28,Lead,0.117,ug/l
5839,nwisny.01.01801596,,,2018-06-06,Copper,,
5841,nwisny.01.01801596,,,2018-06-06,Lead,0.172,ug/l
5907,nwisny.01.01803214,,,2018-09-25,Copper,0.42,ug/l
5909,nwisny.01.01803214,,,2018-09-25,Lead,0.098,ug/l
5975,nwisny.01.01803420,,,2018-10-04,Copper,,
5977,nwisny.01.01803420,,,2018-10-04,Lead,0.781,ug/l
6038,nwisny.01.01803421,,,2018-10-04,Copper,,
6040,nwisny.01.01803421,,,2018-10-04,Lead,0.762,ug/l
6453,nwisny.01.01800338,,,2017-12-12,Copper,0.61,ug/l
6455,nwisny.01.01800338,,,2017-12-12,Lead,0.075,ug/l
6753,nwisny.01.01800339,,,2017-12-12,Copper,0.76,ug/l
6755,nwisny.01.01800339,,,2017-12-12,Lead,0.067,ug/l
7314,nwisny.01.01801143,,,2018-03-28,Copper,0.4,ug/l
7316,nwisny.01.01801143,,,2018-03-28,Lead,0.172,ug/l
7389,nwisny.01.01801661,,,2018-06-08,Copper,,
7391,nwisny.01.01801661,,,2018-06-08,Lead,0.104,ug/l
7462,nwisny.01.01803423,,,2018-10-04,Copper,,
7464,nwisny.01.01803423,,,2018-10-04,Lead,0.513,ug/l
7535,nwisny.01.01803425,,,2018-10-02,Copper,3.7,ug/l
7537,nwisny.01.01803425,,,2018-10-02,Lead,0.144,ug/l
20160,nwisny.01.01600928,,,,Copper,,
20161,nwisny.01.01600928,,,,Lead,,
20166,nwisny.01.01600928,,,,Copper,,
20167,nwisny.01.01600928,,,,Lead,,
20222,nwisny.01.01601164,,,,Copper,,
20223,nwisny.01.01601164,,,,Lead,,
20228,nwisny.01.01601164,,,,Copper,,
20229,nwisny.01.01601164,,,,Lead,,
20285,nwisny.01.01601693,,,,Copper,,
20286,nwisny.01.01601693,,,,Lead,,
20300,nwisny.01.01601693,,,,Copper,,
20301,nwisny.01.01601693,,,,Lead,,
20433,nwisny.01.01602337,,,,Copper,,
20434,nwisny.01.01602337,,,,Lead,,
20439,nwisny.01.01602337,,,,Copper,,
20440,nwisny.01.01602337,,,,Lead,,
20504,nwisny.01.01602780,,,,Copper,,
20505,nwisny.01.01602780,,,,Lead,,
20510,nwisny.01.01602780,,,,Copper,,
20511,nwisny.01.01602780,,,,Lead,,
20576,nwisny.01.01700088,,,,Copper,,
20577,nwisny.01.01700088,,,,Lead,,
20582,nwisny.01.01700088,,,,Copper,,
20583,nwisny.01.01700088,,,,Lead,,
20674,nwisny.01.01600843,,,,Copper,,
20675,nwisny.01.01600843,,,,Lead,,
20680,nwisny.01.01600843,,,,Copper,,
20681,nwisny.01.01600843,,,,Lead,,
20729,nwisny.01.01601167,,,,Copper,,
20730,nwisny.01.01601167,,,,Lead,,
20735,nwisny.01.01601167,,,,Copper,,
20736,nwisny.01.01601167,,,,Lead,,
20798,nwisny.01.01601564,,,,Copper,,
20799,nwisny.01.01601564,,,,Lead,,
20804,nwisny.01.01601564,,,,Copper,,
20805,nwisny.01.01601564,,,,Lead,,
20942,nwisny.01.01602232,,,,Copper,,
20943,nwisny.01.01602232,,,,Lead,,
20948,nwisny.01.01602232,,,,Copper,,
20949,nwisny.01.01602232,,,,Lead,,
21016,nwisny.01.01602753,,,,Copper,,
21017,nwisny.01.01602753,,,,Lead,,
21022,nwisny.01.01602753,,,,Copper,,
21023,nwisny.01.01602753,,,,Lead,,
21087,nwisny.01.01700107,,,,Copper,,
21088,nwisny.01.01700107,,,,Lead,,
21093,nwisny.01.01700107,,,,Copper,,
21094,nwisny.01.01700107,,,,Lead,,
21185,nwisny.01.01600789,,,,Copper,,
21186,nwisny.01.01600789,,,,Lead,,
21191,nwisny.01.01600789,,,,Copper,,
21192,nwisny.01.01600789,,,,Lead,,
21243,nwisny.01.01601384,,,,Copper,,
21244,nwisny.01.01601384,,,,Lead,,
21249,nwisny.01.01601384,,,,Copper,,
21250,nwisny.01.01601384,,,,Lead,,
21302,nwisny.01.01601432,,,,Copper,,
21303,nwisny.01.01601432,,,,Lead,,
21308,nwisny.01.01601432,,,,Copper,,
21309,nwisny.01.01601432,,,,Lead,,
21407,nwisny.01.01601999,,,,Copper,,
21408,nwisny.01.01601999,,,,Lead,,
21422,nwisny.01.01601999,,,,Copper,,
21423,nwisny.01.01601999,,,,Lead,,
21518,nwisny.01.01602718,,,,Copper,,
21519,nwisny.01.01602718,,,,Lead,,
21524,nwisny.01.01602718,,,,Copper,,
21525,nwisny.01.01602718,,,,Lead,,
21589,nwisny.01.01700033,,,,Copper,,
21590,nwisny.01.01700033,,,,Lead,,
21595,nwisny.01.01700033,,,,Copper,,
21596,nwisny.01.01700033,,,,Lead,,
21668,nwisny.01.01600842,,,,Copper,,
21669,nwisny.01.01600842,,,,Lead,,
21674,nwisny.01.01600842,,,,Copper,,
21675,nwisny.01.01600842,,,,Lead,,
21721,nwisny.01.01601168,,,,Copper,,
21722,nwisny.01.01601168,,,,Lead,,
21727,nwisny.01.01601168,,,,Copper,,
